PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
186. Niklas Hjalmarsson,Niklas.Hjalmarsson,32,LD/RD,Left,27,1,4,5,0.19,-2,18,0.06,18:45,5000000,"$6,000,000 "
187. Tyler Bozak,Tyler.Bozak,33,"C, RW",Right,67,13,16,29,0.43,0,109,0.12,15:19,5000000,"$5,250,000 "
188. Tyler Johnson,Tyler.Johnson,28,"RW, C",Right,65,14,17,31,0.48,9,113,0.12,14:32,5000000,"$5,500,000 "
191. Josh Bailey,Josh.Bailey,29,"RW, LW",Left,68,14,29,43,0.63,-12,94,0.15,16:53,5000000,"$6,000,000 "
192. Wayne Simmonds,Wayne.Simmonds,30,"RW, LW",Right,68,8,17,25,0.37,-21,119,0.07,14:55,5000000,"$5,000,000 "
193. Danny DeKeyser,Danny.DeKeyser,29,LD,Left,8,0,4,4,0.5,0,12,0,22:03,5000000,"$5,500,000 "
194. Reilly Smith,Reilly.Smith,28,"RW, LW",Left,71,27,27,54,0.76,17,169,0.16,17:54,5000000,"$5,000,000 "
195. Jonathan Marchessault,Jonathan.Marchessault,28,"LW, RW",Right,66,22,25,47,0.71,6,235,0.09,17:16,5000000,"$6,000,000 "
197. Morgan Rielly,Morgan.Rielly,25,LD,Left,47,3,24,27,0.57,6,123,0.02,24:12:00,5000000,"$5,000,000 "
199. Andy Greene,Andy.Greene,36,LD/RD,Left,63,2,12,14,0.22,1,60,0.03,19:32,5000000,"$5,000,000 "
200. Zachary Werenski,Zachary.Werenski,21,LD,Left,63,20,21,41,0.65,9,187,0.11,23:59,5000000,"$4,000,000 "
201. Noah Hanifin,Noah.Hanifin,22,LD,Left,70,5,17,22,0.31,-12,132,0.04,21:10,4950000,"$4,950,000 "
203. Alex Galchenyuk,Alex.Galchenyuk,25,"LW, C, RW",Left,59,8,16,24,0.41,-5,86,0.09,12:17,4900000,"$4,900,000 "
204. Alexander Wennberg,Alexander.Wennberg,24,C,Left,57,5,17,22,0.39,-5,72,0.07,16:40,4900000,"$5,350,000 "
205. Charlie McAvoy,Charlie.McAvoy,21,RD,Right,67,5,27,32,0.48,24,101,0.05,23:09,4900000,"$3,700,000 "
206. Sami Vatanen,Sami.Vatanen,28,LD/RD,Right,47,5,18,23,0.49,-12,95,0.05,21:45,4875000,"$4,500,000 "
207. Michael Matheson,Michael.Matheson,25,LD,Left,59,8,12,20,0.34,-1,104,0.08,18:02,4875000,"$3,500,000 "
208. Marián Gáborík,Marián.Gáborík,37,RW,Left,0,0,0,0,0,0,0,0,,4875000,"$3,175,000 "
209. Elias Lindholm,Elias.Lindholm,24,"C, RW",Right,70,29,25,54,0.77,-8,169,0.17,19:43,4850000,"$5,850,000 "
210. Justin Faulk,Justin.Faulk,27,RD,Right,69,5,11,16,0.23,-3,147,0.03,20:34,4833333,"$6,000,000 "
211. Vincent Trocheck,Vincent.Trocheck,25,"C, RW",Right,62,11,27,38,0.61,-8,141,0.08,16:43,4750000,"$5,250,000 "
212. Martin Hanzal,Martin.Hanzal,32,C,Left,0,0,0,0,0,0,0,0,,4750000,"$4,000,000 "
213. Alex Tuch,Alex.Tuch,23,"RW, LW",Right,42,8,9,17,0.4,-10,98,0.08,14:37,4750000,"$4,750,000 "
214. Colin White,Colin.White,22,"RW, C",Right,61,7,16,23,0.38,-12,83,0.08,15:42,4750000,"$4,000,000 "
216. Carl Söderberg,Carl.Söderberg,33,"C, LW",Left,70,17,18,35,0.5,6,135,0.13,15:53,4750000,"$4,000,000 "
217. TJ Brodie,TJrodie.Brodie,29,LD/RD,Left,64,4,15,19,0.3,7,65,0.06,20:27,4650400,"$4,838,000 "
218. Kyle Palmieri,Kyle.Palmieri,28,"RW, LW",Right,65,25,20,45,0.69,-4,155,0.16,17:06,4650000,"$5,000,000 "
219. Clarke MacArthur,Clarke.MacArthur,34,LW,Left,0,0,0,0,0,0,0,0,,4650000,"$4,750,000 "
220. Chris Kreider,Chris.Kreider,28,LW,Left,63,24,21,45,0.71,13,156,0.15,17:14,4625000,"$4,000,000 "
221. Karl Alzner,Karl.Alzner,30,LD,Left,4,0,0,0,0,-1,4,0,13:55,4625000,"$4,625,000 "
222. Ryan Murray,Ryan.Murray,25,LD,Left,27,2,7,9,0.33,-9,32,0.06,19:57,4600000,"$4,500,000 "
223. Jakob Chychrun,Jakob.Chychrun,21,LD/RD,Left,63,12,14,26,0.41,4,149,0.08,22:26,4600000,"$2,600,000 "
224. Tyler Toffoli,Tyler.Toffoli,27,"RW, LW",Right,68,24,20,44,0.65,-1,203,0.12,16:50,4600000,"$4,800,000 "
225. Calvin De Haan,Calvin.Haan,28,LD/RD,Left,29,1,5,6,0.21,10,42,0.02,19:54,4550000,"$4,700,000 "
226. Artem Anisimov,Artem.Anisimov,31,"C, LW",Left,49,15,5,20,0.41,-15,87,0.17,13:50,4550000,"$4,000,000 "
227. Marcus Johansson,Marcus.Johansson,28,"C, LW, RW",Left,60,9,21,30,0.5,-12,87,0.1,17:08,4500000,"$5,000,000 "
229. Nikita Zaitsev,Nikita.Zaitsev,27,RD,Right,58,1,11,12,0.21,-8,64,0.02,22:09,4500000,"$4,500,000 "
230. Jason Demers,Jason.Demers,31,RD,Right,50,0,11,11,0.22,5,53,0,20:29,4500000,"$3,600,000 "
231. Shayne Gostisbehere,Shayne.Gostisbehere,26,LD,Left,42,5,7,12,0.29,-4,73,0.07,18:17,4500000,"$5,250,000 "
232. Nazem Kadri,Nazem.Kadri,28,C,Left,51,19,17,36,0.71,7,133,0.14,17:25,4500000,"$4,500,000 "
233. Nikita Gusev,Nikita.Gusev,26,"RW, LW",Right,66,13,31,44,0.67,-15,158,0.08,14:41,4500000,"$5,000,000 "
234. Cody Ceci,Cody.Ceci,25,RD,Right,56,1,7,8,0.14,7,48,0.02,20:32,4500000,"$4,500,000 "
235. Christopher Tanev,Christopher.Tanev,29,RD,Right,69,2,18,20,0.29,4,45,0.04,19:31,4450000,"$5,250,000 "
236. Christian Dvorak,Christian.Dvorak,23,"C, LW",Left,70,18,20,38,0.54,6,134,0.13,16:41,4450000,"$3,250,000 "
237. Alex Killorn,Alex.Killorn,29,LW,Left,68,26,23,49,0.72,19,130,0.2,17:55,4450000,"$4,450,000 "
239. Brandon Sutter,Brandon.Sutter,30,"RW, C",Right,44,8,9,17,0.39,1,76,0.11,14:50,4375000,"$4,500,000 "
240. Brendan Smith,Brendan.Smith,30,"LD/RD, LW",Left,62,3,5,8,0.13,-12,45,0.07,11:06,4350000,"$4,525,000 "
242. Dmitry Kulikov,Dmitry.Kulikov,28,LD/RD,Left,51,2,8,10,0.2,-4,54,0.04,20:01,4333333,"$4,333,333 "
244. Sean Couturier,Sean.Couturier,26,C,Left,69,22,37,59,0.86,21,185,0.12,19:49,4333333,"$4,500,000 "
245. Michael Frolík,Michael.Frolík,31,"LW, RW",Left,57,6,8,14,0.25,-12,70,0.09,12:26,4300000,"$3,000,000 "
