PLAYER,event_player_1_name,AGE,POS,HANDED,GP,G,A,P,P/GP,+/-,Sh,Sh%,TOI,CAP HIT,SALARY
365. Oskar Sundqvist,Oskar.Sundqvist,25,"C, RW",Right,57,12,11,23,0.4,5,97,0.12,14:22,2750000,"$2,250,000 "
366. John Moore,John.Moore,28,LD,Left,24,2,1,3,0.13,-2,33,0.06,16:32,2750000,"$3,250,000 "
367. Carl Hagelin,Carl.Hagelin,30,LW,Left,58,8,17,25,0.43,12,107,0.07,14:19,2750000,"$3,500,000 "
370. Riley Nash,Riley.Nash,30,"C, RW",Right,64,5,9,14,0.22,6,64,0.08,11:50,2750000,"$2,750,000 "
372. Erik Haula,Erik.Haula,28,"C, LW",Left,48,12,12,24,0.5,1,92,0.13,15:49,2750000,"$2,750,000 "
374. Miles Wood,Miles.Wood,23,LW,Left,68,11,12,23,0.34,-19,141,0.08,13:14,2750000,"$2,500,000 "
375. Richard Pánik,Richard.Pánik,28,"LW, RW",Left,59,9,13,22,0.37,16,67,0.13,11:20,2750000,"$3,200,000 "
376. Mark Pysyk,Mark.Pysyk,27,"RD, RW",Right,58,9,9,18,0.31,4,64,0.14,12:45,2733333,"$3,500,000 "
377. Markus Nutivaara,Markus.Nutivaara,25,LD/RD,Left,37,3,6,9,0.24,2,47,0.06,15:55,2700000,"$2,500,000 "
378. Joel Armia,Joel.Armia,26,"RW, LW",Right,58,16,14,30,0.52,2,155,0.1,17:13,2600000,"$2,800,000 "
379. Colin Wilson,Colin.Wilson,29,"C, LW",Left,9,0,4,4,0.44,6,12,0,12:38,2600000,"$2,600,000 "
380. Ondrej Kase,Ondrej.Kase,23,RW,Right,55,7,17,24,0.44,-7,144,0.05,16:32,2600000,"$2,600,000 "
382. Sam Bennett,Sam.Bennett,23,C,Left,52,8,4,12,0.23,-1,82,0.1,12:30,2550000,"$2,550,000 "
383. Frank Vatrano,Frank.Vatrano,25,"RW, LW",Left,69,16,18,34,0.49,-8,162,0.1,15:01,2533333,"$2,500,000 "
384. Derek Forbort,Derek.Forbort,27,LD,Left,20,0,1,1,0.05,-5,22,0,17:49,2525000,"$2,800,000 "
386. Oliver Bjorkstrand,Oliver.Bjorkstrand,24,"RW, LW",Right,49,21,15,36,0.73,8,162,0.13,17:56,2500000,"$2,500,000 "
387. Brayden McNabb,Brayden.McNabb,28,LD,Left,71,2,7,9,0.13,1,73,0.03,20:00,2500000,"$2,500,000 "
388. Thomas Hickey,Thomas.Hickey,30,LD,Left,0,0,0,0,0,0,0,0,,2500000,"$2,500,000 "
389. Matt Martin,Matt.Martin,30,"LW, RW",Left,55,5,3,8,0.15,-1,49,0.1,10:25,2500000,"$1,750,000 "
390. Nick Jensen,Nick.Jensen,28,RD,Right,68,0,8,8,0.12,1,61,0,17:49,2500000,"$3,000,000 "
391. Michal Kempný,Michal.Kempný,28,LD,Left,58,3,15,18,0.31,19,73,0.04,18:38,2500000,"$2,700,000 "
392. Kevan Miller,Kevan.Miller,31,RD,Right,0,0,0,0,0,0,0,0,,2500000,"$2,500,000 "
393. Alex Iafallo,Alex.Iafallo,25,"LW, C",Left,70,17,26,43,0.61,1,142,0.12,18:55,2425000,"$2,400,000 "
394. Blake Comeau,Blake.Comeau,33,"RW, LW",Right,55,8,8,16,0.29,-6,74,0.11,14:56,2400000,"$2,600,000 "
395. Artturi Lehkonen,Artturi.Lehkonen,23,"LW, RW",Left,70,13,14,27,0.39,2,140,0.09,15:25,2400000,"$2,400,000 "
397. Dale Weise,Dale.Weise,30,"RW, LW",Right,23,1,4,5,0.22,1,15,0.07,9:16,2350000,"$1,750,000 "
398. Stephen Johns,Stephen.Johns,27,RD,Right,17,2,3,5,0.29,0,30,0.07,17:39,2350000,"$2,800,000 "
399. Troy Stecher,Troy.Stecher,25,RD,Right,69,5,12,17,0.25,10,86,0.06,15:20,2325000,"$2,325,000 "
400. Devin Shore,Devin.Shore,24,"LW, C, RW",Left,45,5,7,12,0.27,-10,50,0.1,11:38,2300000,"$2,400,000 "
401. Mattias Janmark,Mattias.Janmark,26,"LW, C",Left,62,6,15,21,0.34,-5,86,0.07,14:37,2300000,"$2,300,000 "
402. Trevor van Riemsdyk,Trevor.Riemsdyk,27,LD/RD,Right,49,1,7,8,0.16,-7,58,0.02,14:51,2300000,"$2,500,000 "
403. Scott Laughton,Scott.Laughton,25,"C, LW",Left,49,13,14,27,0.55,13,74,0.18,14:36,2300000,"$2,300,000 "
404. Andrew Copp,Andrew.Copp,24,"LW, C",Left,63,10,16,26,0.41,-3,121,0.08,17:41,2280000,"$2,260,000 "
405. Jimmy Vesey,Jimmy.Vesey,26,"LW, RW",Left,64,9,11,20,0.31,12,93,0.1,13:48,2275000,"$2,350,000 "
406. Matt Hunwick,Matt.Hunwick,34,LD,Left,0,0,0,0,0,0,0,0,,2250000,"$1,750,000 "
407. Greg Pateryn,Greg.Pateryn,29,RD,Right,20,0,3,3,0.15,1,22,0,15:28,2250000,"$2,250,000 "
408. Brandon Manning,Brandon.Manning,29,LD,Left,9,1,0,1,0.11,-1,8,0.13,11:02,2250000,"$2,000,000 "
409. Zach Hyman,Zach.Hyman,27,"LW, RW",Right,51,21,16,37,0.73,13,106,0.2,19:05,2250000,"$2,500,000 "
410. Pavel Zacha,Pavel.Zacha,22,"LW, C",Left,65,8,24,32,0.49,-12,97,0.08,16:16,2250000,"$1,750,000 "
411. Radek Faksa,Radek.Faksa,25,C,Left,66,11,9,20,0.3,-6,109,0.1,15:53,2200000,"$2,400,000 "
412. Nick Holden,Nick.Holden,32,LD,Left,61,6,8,14,0.23,-1,101,0.06,18:51,2200000,"$1,800,000 "
413. Alex Chiasson,Alex.Chiasson,28,RW,Right,65,11,13,24,0.37,-3,97,0.11,13:07,2150000,"$2,150,000 "
414. Jamie Oleksiak,Jamie.Oleksiak,26,LD/RD,Left,69,3,7,10,0.14,-6,76,0.04,15:48,2137500,"$1,962,500 "
415. Brock McGinn,Brock.McGinn,25,"LW, RW",Left,68,7,10,17,0.25,-4,93,0.08,13:12,2100000,"$1,900,000 "
416. Connor Brown,Connor.Brown,25,"LW, RW",Right,71,16,27,43,0.61,-6,173,0.09,20:06,2100000,"$2,100,000 "
417. Anthony Beauvillier,Anthony.Beauvillier,22,"LW, RW",Left,68,18,21,39,0.57,-11,132,0.14,17:15,2100000,"$1,800,000 "
418. Evan Rodrigues,Evan.Rodrigues,25,"RW, C",Right,45,6,4,10,0.22,-8,75,0.08,11:16,2000000,"$2,000,000 "
419. Calle Järnkrok,Calle.Järnkrok,27,"LW, C, RW",Right,64,15,19,34,0.53,4,136,0.11,15:56,2000000,"$2,200,000 "
420. Melker Karlsson,Melker.Karlsson,28,"RW, C",Right,61,6,6,12,0.2,-7,56,0.11,12:16,2000000,"$2,000,000 "
421. Jordie Benn,Jordie.Benn,31,LD/RD,Left,44,1,6,7,0.16,-7,58,0.02,16:17,2000000,"$2,400,000 "
423. Zdeno Chara,Zdeno.Chara,42,LD,Left,68,5,9,14,0.21,26,86,0.06,21:00,2000000,"$2,000,000 "
424. Jordan Martinook,Jordan.Martinook,26,"RW, LW",Left,45,2,11,13,0.29,-2,44,0.05,11:15,2000000,"$1,850,000 "
425. Adrian Kempe,Adrian.Kempe,22,"LW, RW",Left,69,11,21,32,0.46,-10,148,0.07,16:00,2000000,"$1,250,000 "
427. Joe Thornton,Joe.Thornton,39,"C, LW",Left,70,7,24,31,0.44,-19,76,0.09,15:30,2000000,"$2,000,000 "
428. Ryan Pulock,Ryan.Pulock,24,RD,Right,68,10,25,35,0.51,8,163,0.06,22:24,2000000,"$2,650,000 "
429. Trevor Lewis,Trevor.Lewis,32,RW,Right,56,6,6,12,0.21,-7,92,0.07,11:54,2000000,"$2,000,000 "
430. Matt Nieto,Matt.Nieto,26,"LW, RW",Left,70,8,13,21,0.3,7,85,0.09,13:30,1975000,"$1,975,000 "
431. Zack Kassian,Zack.Kassian,28,RW,Right,59,15,19,34,0.58,0,99,0.15,15:39,1950000,"$2,000,000 "
432. Tim Schaller,Tim.Schaller,28,LW,Left,53,5,1,6,0.11,-14,49,0.1,11:34,1900000,"$1,900,000 "
433. Matthew Benning,Matthew.Benning,25,RD,Right,43,1,7,8,0.19,8,38,0.03,13:13,1900000,"$2,000,000 "
435. Ryan Donato,Ryan.Donato,23,"LW, C",Left,62,14,9,23,0.37,5,95,0.15,10:38,1900000,"$1,650,000 "
436. Ryan Hartman,Ryan.Hartman,24,"C, RW",Right,69,9,11,20,0.29,4,114,0.08,12:15,1900000,"$1,900,000 "
437. Jesper Fast,Jesper.Fast,27,RW,Right,69,12,17,29,0.42,16,84,0.14,16:36,1850000,"$1,950,000 "
438. Josh Anderson,Josh.Anderson,25,"RW, LW",Right,26,1,3,4,0.15,-8,63,0.02,16:03,1850000,"$2,100,000 "
440. Brett Kulak,Brett.Kulak,25,LD/RD,Left,56,0,7,7,0.13,-1,101,0,17:08,1850000,"$1,950,000 "
441. Pierre-Édouard Bellemare,Pierre.Bellemare,34,"C, LW",Left,69,9,13,22,0.32,2,85,0.11,13:25,1800000,"$2,150,000 "
442. Luke Glendening,Luke.Glendening,30,"C, RW, LW",Right,60,6,3,9,0.15,-29,76,0.08,15:21,1800000,"$1,700,000 "
443. Blake Coleman,Blake.Coleman,27,"LW, RW",Left,66,21,11,32,0.48,0,200,0.11,16:43,1800000,"$1,800,000 "
444. Kevin Shattenkirk,Kevin.Shattenkirk,30,RD,Right,70,8,26,34,0.49,22,131,0.06,18:53,1750000,"$1,750,000 "
445. Roman Polák,Roman.Polák,33,RD,Right,41,0,4,4,0.1,-6,34,0,16:39,1750000,"$1,750,000 "
446. Carl Gunnarsson,Carl.Gunnarsson,32,LD,Left,36,2,5,7,0.19,8,31,0.06,15:46,1750000,"$1,750,000 "
448. Braydon Coburn,Braydon.Coburn,34,LD,Left,40,1,3,4,0.1,5,44,0.02,14:03,1700000,"$1,800,000 "
449. Mark Jankowski,Mark.Jankowski,24,"LW, C",Left,56,5,2,7,0.13,-12,38,0.13,11:05,1675000,"$1,750,000 "
450. Noel Acciari,Noel.Acciari,27,"C, RW",Right,66,20,7,27,0.41,2,108,0.19,15:57,1666667,"$2,000,000 "
451. Anthony Duclair,Anthony.Duclair,23,"LW, RW",Left,66,23,17,40,0.61,-5,184,0.13,16:15,1650000,"$1,650,000 "
452. Cédric Paquette,Cédric.Paquette,25,"C, LW, RW",Left,61,7,11,18,0.3,-1,78,0.09,13:03,1650000,"$1,650,000 "
453. Scott Harrington,Scott.Harrington,26,LD,Left,39,1,7,8,0.21,-3,37,0.03,13:56,1633333,"$1,600,000 "
454. Kyle Clifford,Kyle.Clifford,28,LW,Left,69,7,10,17,0.25,-7,110,0.06,11:11,1600000,"$1,900,000 "
455. MacKenzie Weegar,Mac.Weegar,25,LD/RD,Right,45,7,11,18,0.4,6,77,0.09,20:07,1600000,"$1,600,000 "
456. Zemgus Girgensons,Zemgus.Girgensons,25,"C, LW",Left,69,12,7,19,0.28,-1,85,0.14,13:47,1600000,"$1,600,000 "
457. Adam Pelech,Adam.Pelech,24,LD,Left,38,1,8,9,0.24,4,49,0.02,21:07,1600000,"$1,925,000 "
458. Michael Raffl,Michael.Raffl,30,"LW, RW",Left,58,8,12,20,0.34,-2,66,0.12,12:22,1600000,"$1,800,000 "
459. Johan Larsson,Johan.Larsson,26,"C, LW",Left,62,6,12,18,0.29,8,60,0.1,14:53,1550000,"$1,550,000 "
460. Lawson Crouse,Lawson.Crouse,22,LW,Left,66,15,10,25,0.38,0,109,0.14,13:34,1533333,"$1,000,000 "
461. Drake Caggiula,Drake.Caggiula,25,"LW, RW",Left,40,9,6,15,0.38,-3,56,0.16,11:48,1500000,"$1,500,000 "
462. Ben Hutton,Ben.Hutton,26,LD,Left,65,4,12,16,0.25,5,114,0.04,18:15,1500000,"$1,500,000 "
463. Josh Leivo,Josh.Leivo,26,"RW, LW",Right,36,7,12,19,0.53,0,69,0.1,15:00,1500000,"$1,500,000 "
464. Jason Dickinson,Jason.Dickinson,23,"C, LW",Left,65,9,12,21,0.32,7,85,0.11,14:58,1500000,"$1,400,000 "
465. Corey Perry,Corey.Perry,34,RW,Right,57,5,16,21,0.37,-2,77,0.06,13:43,1500000,"$1,500,000 "
466. Garnet Hathaway,Garnet.Hathaway,27,"RW, LW",Right,66,9,7,16,0.24,6,80,0.11,10:46,1500000,"$2,000,000 "
467. Andrej Sekera,Andrej.Sekera,33,LD/RD,Left,57,2,6,8,0.14,9,63,0.03,18:00,1500000,"$1,500,000 "
468. Vinnie Hinostroza,Vinnie.Hinostroza,25,"RW, LW",Right,68,5,17,22,0.32,1,132,0.04,13:06,1500000,"$1,500,000 "
470. Zachary Sanford,Zachary.Sanford,24,"LW, RW",Left,58,16,14,30,0.52,13,90,0.18,13:43,1500000,"$1,500,000 "
471. Connor Carrick,Connor.Carrick,25,RD,Right,29,1,5,6,0.21,-6,25,0.04,14:24,1500000,"$1,500,000 "
472. Marcus Sörensen,Marcus.Sörensen,27,"LW, RW",Left,66,7,11,18,0.27,-12,78,0.09,13:50,1500000,"$1,500,000 "
473. Mike Reilly,Mike.Reilly,25,LD,Left,44,1,15,16,0.36,-6,85,0.01,18:01,1500000,"$1,500,000 "
474. Nick Ritchie,Nick.Ritchie,23,LW,Left,48,9,12,21,0.44,1,78,0.12,14:08,1498925,"$1,400,000 "
475. Joel Eriksson Ek,Joel.Ek,22,C,Left,62,8,21,29,0.47,7,102,0.08,15:43,1487500,"$1,450,000 "
476. Ivan Barbashev,Ivan.Barbashev,23,"C, LW",Left,69,11,15,26,0.38,4,75,0.15,13:27,1475000,"$1,400,000 "
477. Scott Mayfield,Scott.Mayfield,26,RD,Right,67,5,8,13,0.19,8,98,0.05,19:56,1450000,"$1,200,000 "
478. Mark Barberio,Mark.Barberio,29,LD,Left,21,0,2,2,0.1,3,29,0,14:05,1450000,"$1,450,000 "
479. Steven Santini,Steven.Santini,24,RD,Right,2,0,0,0,0,1,1,0,9:33,1416667,"$1,500,000 "
480. Matt Grzelcyk,Matt.Grzelcyk,25,LD,Left,68,4,17,21,0.31,15,112,0.04,18:03,1400000,"$1,400,000 "
481. Jordan Weal,Jordan.Weal,27,"C, RW, LW",Right,49,8,7,15,0.31,-8,86,0.09,13:36,1400000,"$1,300,000 "
482. Tyler Bertuzzi,Tyler.Bertuzzi,24,"LW, RW",Left,71,21,27,48,0.68,-23,129,0.16,19:18,1400000,"$1,400,000 "
483. Mirco Mueller,Mirco.Mueller,24,LD,Left,50,2,5,7,0.14,-13,29,0.07,17:38,1400000,"$1,400,000 "
484. Jordan Oesterle,Jordan.Oesterle,27,LD/RD,Left,58,3,10,13,0.22,-9,69,0.04,17:00,1400000,"$1,200,000 "
485. Kevin Connauton,Kevin.Connauton,29,LD/RD,Left,4,0,0,0,0,-2,4,0,15:30,1375000,"$1,500,000 "
486. Robert Bortuzzo,Robert.Bortuzzo,30,RD,Right,42,2,4,6,0.14,12,36,0.06,13:07,1375000,"$1,375,000 "
487. Jon Merrill,Jon.Merrill,27,LD,Left,49,2,5,7,0.14,9,37,0.05,18:09,1375000,"$1,475,000 "
489. Jan Rutta,Jan.Rutta,28,LD/RD,Right,33,1,6,7,0.21,6,43,0.02,15:32,1300000,"$1,300,000 "
490. Zach Bogosian,Zach.Bogosian,28,RD,Right,27,1,6,7,0.26,0,29,0.03,16:37,1300000,"$1,300,000 "
491. Matthew Peca,Matthew.Peca,26,"LW, C",Left,14,0,2,2,0.14,-4,7,0,10:26,1300000,"$1,300,000 "
492. Markus Granlund,Markus.Granlund,26,"RW, LW, C",Left,34,3,1,4,0.12,-1,26,0.12,10:49,1300000,"$1,300,000 "
494. Sean Kuraly,Sean.Kuraly,26,"C, LW",Left,69,6,17,23,0.33,-2,95,0.06,13:17,1275000,"$1,475,000 "
495. Dan Hamhuis,Dan.Hamhuis,36,LD,Left,60,0,8,8,0.13,6,44,0,14:30,1250000,"$1,000,000 "
497. Chris Wagner,Chris.Wagner,28,"RW, C",Right,67,6,4,10,0.15,-8,78,0.08,12:26,1250000,"$1,250,000 "
498. Jared McCann,Jared.McCann,23,"C, LW",Left,66,14,21,35,0.53,6,150,0.09,15:14,1250000,"$1,250,000 "
499. Christian Djoos,Christian.Djoos,24,LD,Left,11,1,2,3,0.27,3,13,0.08,19:06,1250000,"$1,250,000 "
500. Austin Czarnik,Austin.Czarnik,26,"C, RW",Right,8,2,1,3,0.38,1,9,0.22,10:11,1250000,"$1,250,000 "
501. Brad Richardson,Brad.Richardson,34,C,Left,59,6,5,11,0.19,1,76,0.08,13:38,1250000,"$1,400,000 "
502. Jake Virtanen,Jake.Virtanen,22,"RW, LW",Right,69,18,18,36,0.52,-4,150,0.12,13:05,1250000,"$1,500,000 "
504. Derick Brassard,Derick.Brassard,31,"LW, C",Left,66,10,22,32,0.48,-2,110,0.09,13:41,1200000,"$1,200,000 "
505. Erik Gustafsson,Erik.Gustafsson,27,LD/RD,Left,66,6,23,29,0.44,-9,103,0.06,20:22,1200000,"$1,400,000 "
506. Mark Borowiecki,Mark.Borowiecki,29,LD,Left,53,7,11,18,0.34,1,63,0.11,17:56,1200000,"$1,200,000 "
507. Jujhar Khaira,Jujhar.Khaira,24,"C, LW",Left,64,6,4,10,0.16,-19,69,0.09,12:31,1200000,"$1,100,000 "
508. Colton Sceviour,Colton.Sceviour,30,"RW, C",Right,69,6,10,16,0.23,2,114,0.05,13:14,1200000,"$1,200,000 "
509. Kyle Brodziak,Kyle.Brodziak,35,C,Right,0,0,0,0,0,0,0,0,,1150000,"$1,200,000 "
511. Robert Hägg,Robert.Hägg,24,LD,Left,49,3,10,13,0.27,14,38,0.08,15:35,1150000,"$1,300,000 "
513. Carter Rowney,Carter.Rowney,30,"C, RW",Right,71,8,11,19,0.27,5,63,0.13,12:49,1133333,"$1,000,000 "
515. Austin Watson,Austin.Watson,27,"RW, LW",Right,53,6,8,14,0.26,-9,50,0.12,11:37,1100000,"$1,200,000 "
517. Scott Wilson,Scott.Wilson,27,LW,Left,6,1,1,2,0.33,1,8,0.13,11:37,1050000,"$1,100,000 "
519. Chandler Stephenson,Chandler.Stephenson,25,"C, LW",Left,65,11,15,26,0.4,24,73,0.15,14:19,1050000,"$1,050,000 "
520. Adam Erne,Adam.Erne,24,"LW, RW",Left,56,2,3,5,0.09,-24,63,0.03,11:48,1050000,"$1,050,000 "
522. Nick Cousins,Nick.Cousins,25,"LW, C",Left,65,10,15,25,0.38,0,115,0.09,13:30,1000000,"$1,000,000 "
523. Kevin Labanc,Kevin.Labanc,23,"RW, LW",Right,70,14,19,33,0.47,-33,176,0.08,16:04,1000000,"$1,000,000 "
524. Madison Bowey,Madison.Bowey,24,RD,Right,53,3,14,17,0.32,-16,70,0.04,17:54,1000000,"$1,000,000 "
525. Rocco Grimaldi,Rocco.Grimaldi,26,"LW, RW",Right,66,10,21,31,0.47,10,122,0.08,12:38,1000000,"$1,000,000 "
526. Zach Aston-Reese,Zach.Reese,24,"LW, RW",Left,57,6,7,13,0.23,6,98,0.06,14:25,1000000,"$1,000,000 "
527. Joakim Nordström,Joakim.Nordström,27,"LW, RW",Left,48,4,3,7,0.15,-6,49,0.08,12:05,1000000,"$1,100,000 "
528. Joel Persson,Joel.Persson,25,RD,Right,13,0,2,2,0.15,-1,17,0,15:18,1000000,"$1,000,000 "
529. Tomas Nosek,Tomas.Nosek,26,"C, LW",Left,67,8,7,15,0.22,-2,93,0.09,11:36,1000000,"$1,000,000 "
530. Tyler Pitlick,Tyler.Pitlick,27,RW,Right,63,8,12,20,0.32,11,76,0.11,12:02,1000000,"$1,000,000 "
531. Nathan Beaulieu,Nathan.Beaulieu,26,LD/RD,Left,38,1,7,8,0.21,15,38,0.03,16:59,1000000,"$1,000,000 "
532. Josh Archibald,Josh.Archibald,26,"RW, LW",Right,62,12,9,21,0.34,-8,64,0.19,13:13,1000000,"$1,000,000 "
533. Brett Ritchie,Brett.Ritchie,26,RW,Right,27,2,4,6,0.22,-3,34,0.06,10:24,1000000,"$1,000,000 "
534. Ryan Carpenter,Ryan.Carpenter,28,"RW, C",Right,69,3,12,15,0.22,-6,80,0.04,14:04,1000000,"$1,000,000 "
535. David Kämpf,David.Kämpf,24,"C, RW",Left,70,8,8,16,0.23,-11,90,0.09,13:40,1000000,"$1,000,000 "
536. Ross Johnston,Ross.Johnston,25,LW,Left,32,3,1,4,0.13,1,16,0.19,7:59,1000000,"$1,000,000 "
537. Nate Thompson,Nate.Thompson,34,C,Left,70,4,11,15,0.21,-1,67,0.06,12:47,1000000,"$1,000,000 "
538. Tyler Motte,Tyler.Motte,24,"LW, RW",Left,34,4,4,8,0.24,-10,38,0.11,13:07,975000,"$975,000 "
539. Tim Heed,Tim.Heed,28,RD,Right,38,1,4,5,0.13,-10,44,0.02,13:00,960000,"$960,000 "
540. Nicolas Deslauriers,Nicolas.Deslauriers,28,"RW, LW",Left,59,7,6,13,0.22,-1,64,0.11,9:46,950000,"$950,000 "
542. Brian Boyle,Brian.Boyle,34,"LW, C",Left,39,6,9,15,0.38,-5,56,0.11,12:22,940000,"$940,000 "
543. Rasmus Dahlin,Rasmus.Dahlin,19,LD,Left,59,4,36,40,0.68,-7,90,0.04,19:17,925000,"$925,000 "
544. Jonathan Dahlén,Jonathan.Dahlén,21,"LW, RW",Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
545. Brayden Burke,Brayden.Burke,22,LW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
547. Trent Frederic,Trent.Frederic,21,"C, LW",Left,2,0,0,0,0,-1,1,0,6:25,925000,"$925,000 "
548. Carl Grundström,Carl.Grundström,21,LW,Left,13,0,4,4,0.31,2,16,0,12:45,925000,"$925,000 "
549. Joey Anderson,Joey.Anderson,21,RW,Right,18,4,2,6,0.33,1,21,0.19,13:13,925000,"$925,000 "
550. Philip Broberg,Philip.Broberg,18,LD,Left,0,0,0,0,0,0,0,0,,925000,$0 
551. Arttu Ruotsalainen,Arttu.Ruotsalainen,21,"C, LW",Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
552. Brandon Duhaime,Brandon.Duhaime,22,"LW, RW",Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
553. Dominik Kubalik,Dominik.Kubalik,23,"LW, RW",Left,68,30,16,46,0.68,2,157,0.19,14:22,925000,"$925,000 "
554. Brayden Tracey,Brayden.Tracey,18,LW,Left,0,0,0,0,0,0,0,0,,925000,$0 
555. Ryan Kuffner,Ryan.Kuffner,23,LW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
556. Thomas Harley,Thomas.Harley,17,LD,Left,0,0,0,0,0,0,0,0,,925000,$0 
557. Jack Hughes,Jack.Hughes,18,C,Left,61,7,14,21,0.34,-26,123,0.06,15:51,925000,"$925,000 "
559. Blake Lizotte,Blake.Lizotte,21,C,Left,65,6,17,23,0.35,-4,87,0.07,13:57,925000,"$925,000 "
560. Jesper Boqvist,Jesper.Boqvist,20,"C, LW, RW",Left,35,4,0,4,0.11,-11,41,0.1,10:56,925000,"$925,000 "
561. Josh Melnick,Josh.Melnick,23,RW,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
562. Joseph Veleno,Joseph.Veleno,19,C,Left,0,0,0,0,0,0,0,0,,925000,$0 
563. Bobby Nardella,Bobby.Nardella,23,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
564. Anton Wedin,Anton.Wedin,26,"LW, RW",Left,4,0,0,0,0,1,2,0,9:04,925000,"$925,000 "
565. Tobias Björnfot,Tobias.Björnfot,18,LD,Left,3,0,0,0,0,-4,0,0,12:58,925000,$0 
566. Bowen Byram,Bowen.Byram,18,LD,Left,0,0,0,0,0,0,0,0,,925000,$0 
567. Grant Hutton,Grant.Hutton,23,RD,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
568. Adam Fox,Adam.Fox,21,RD,Right,70,8,34,42,0.6,22,125,0.06,18:54,925000,"$925,000 "
569. Dylan Cozens,Dylan.Cozens,18,"C, LW",Right,0,0,0,0,0,0,0,0,,925000,$0 
570. Rem Pitlick,Rem.Pitlick,22,"LW, C",Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
571. Ville Heinola,Ville.Heinola,18,LD,Left,8,1,4,5,0.63,3,10,0.1,18:03,925000,$0 
573. Jake Walman,Jake.Walman,23,LD,Left,1,0,0,0,0,1,1,0,11:04,925000,"$925,000 "
574. Elias Pettersson,Elias.Pettersson,20,"C, LW",Left,68,27,39,66,0.97,16,162,0.17,18:31,925000,"$925,000 "
575. Troy Terry,Troy.Terry,21,"RW, C",Right,47,4,11,15,0.32,-5,73,0.05,14:31,925000,"$925,000 "
576. Anders Bjork,Anders.Bjork,22,"LW, RW",Left,58,9,10,19,0.33,5,66,0.14,12:55,925000,"$925,000 "
577. Zach Whitecloud,Zach.Whitecloud,22,RD,Right,16,0,1,1,0.06,3,9,0,14:18,925000,"$925,000 "
578. Ville Meskanen,Ville.Meskanen,23,"RW, LW",Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
579. David Pope,David.Pope,24,LW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
580. Josh Dickinson,Josh.Dickinson,21,C,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
581. Lawrence Pilut,Lawrence.Pilut,23,LD,Left,13,0,0,0,0,-4,6,0,16:14,925000,"$925,000 "
582. Jake Evans,Jake.Evans,23,"C, RW",Right,13,2,1,3,0.23,1,14,0.14,10:21,925000,"$925,000 "
583. Dennis Gilbert,Dennis.Gilbert,22,LD,Left,21,1,2,3,0.14,-8,12,0.08,15:42,925000,"$925,000 "
585. Casey Mittelstadt,Casey.Mittelstadt,20,C,Left,31,4,5,9,0.29,-5,34,0.12,12:45,925000,"$925,000 "
586. Carl-Johan Lerby,Carl.Lerby,21,LD,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
587. Riley Tufte,Riley.Tufte,21,LW,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
588. Anthony Deangelo,Anthony.Deangelo,23,RD,Right,68,15,38,53,0.78,12,149,0.1,19:17,925000,"$925,000 "
589. Dante Fabbro,Dante.Fabbro,21,RD,Right,64,5,6,11,0.17,-7,92,0.05,19:01,925000,"$925,000 "
590. Joel Kiviranta,Joel.Kiviranta,23,"LW, RW",Left,11,1,0,1,0.09,-1,13,0.08,10:38,925000,"$925,000 "
591. Brady Tkachuk,Brady.Tkachuk,19,"LW, C",Left,71,21,23,44,0.62,-14,259,0.08,18:56,925000,"$925,000 "
592. Joel Kellman,Joel.Kellman,25,C,Left,31,3,4,7,0.23,-1,31,0.1,11:34,925000,"$925,000 "
593. Ryan Poehling,Ryan.Poehling,20,"C, LW",Left,27,1,1,2,0.07,-4,26,0.04,10:20,925000,"$925,000 "
594. Nikolai Prokhorkin,Nikolai.Prokhorkin,25,"C, LW",Left,43,4,10,14,0.33,-6,63,0.06,12:05,925000,"$925,000 "
597. Aleksi Heponiemi,Aleksi.Heponiemi,20,C,Left,0,0,0,0,0,0,0,0,,925000,"$925,000 "
598. Connor McMichael,Connor.McMichael,18,"LW, C",Left,0,0,0,0,0,0,0,0,,925000,$0 
599. Nolan Foote,Nolan.Foote,18,LW,Left,0,0,0,0,0,0,0,0,,925000,$0 
600. Joseph Cecconi,Joseph.Cecconi,22,RD,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
601. Logan O'Connor,Logan.O'Connor,22,"RW, LW",Right,16,2,0,2,0.13,0,15,0.13,8:25,925000,"$925,000 "
602. Nolan Foote,Nolan.Foote,18,LW,Left,0,0,0,0,0,0,0,0,,925000,$0 
603. Joseph Cecconi,Joseph.Cecconi,22,RD,Right,0,0,0,0,0,0,0,0,,925000,"$925,000 "
